datetime,open,high,low,close,volume
2025-10-15 13:30:00,248.105,248.64,248.05,248.57,205769
2025-10-15 13:35:00,248.58,249.0643,248.58,248.98,235333
2025-10-15 13:40:00,248.96,249.15,248.89,249.12,160987
2025-10-15 13:45:00,249.12,249.3996,249.11,249.255,201455
2025-10-15 13:50:00,249.23,249.55,249.22,249.49,196410
2025-10-15 13:55:00,249.48,249.72,249.361,249.48,150439
2025-10-15 14:00:00,249.49,249.6294,249.22,249.27,144087
2025-10-15 14:05:00,249.27,249.54,249.208,249.52,134613
2025-10-15 14:10:00,249.51,249.635,249.3,249.41,154130
2025-10-15 14:15:00,249.43,249.61,249.4,249.485,93959
2025-10-15 14:20:00,249.46,249.8,249.42,249.62,160308
2025-10-15 14:25:00,249.61,249.7325,249.54,249.647,109981
2025-10-15 14:30:00,249.65,249.83,249.55,249.82,137501
2025-10-15 14:35:00,249.79,249.79,249.48,249.555,128987
2025-10-15 14:40:00,249.54,249.86,249.5,249.718,124608
2025-10-15 14:45:00,249.705,249.78,249.63,249.757,102304
2025-10-15 14:50:00,249.75,249.98,249.75,249.8571,164388
2025-10-15 14:55:00,249.86,249.99,249.75,249.95,186779
2025-10-15 15:00:00,249.96,250.01,249.69,249.75,268330
2025-10-15 15:05:00,249.75,249.82,249.59,249.655,205221
2025-10-15 15:10:00,249.6648,249.76,249.49,249.76,171848
2025-10-15 15:15:00,249.7508,250.11,249.75,249.9999,236634
2025-10-15 15:20:00,249.98,250.07,249.84,249.91,231812
2025-10-15 15:25:00,249.915,250.05,249.86,249.92,181402
2025-10-15 15:30:00,249.93,250.07,249.8,249.83,183002
2025-10-15 15:35:00,249.84,249.8428,249.23,249.26,255491
2025-10-15 15:40:00,249.265,249.495,249.09,249.49,286638
2025-10-15 15:45:00,249.491,249.491,249.121,249.27,272881
2025-10-15 15:50:00,249.25,249.3,248.23,248.34,783401
2025-10-15 15:55:00,248.35,249.4301,248.1,249.43,2444624
2025-10-15 16:00:00,249.43,249.85,249.1,249.59,14676708
2025-10-15 16:05:00,249.59,249.75,249.34,249.53,80783
2025-10-15 16:10:00,249.53,249.58,249.34,249.57,3858
2025-10-15 16:15:00,249.56,249.6,249.34,249.58,5334
2025-10-15 16:20:00,249.5515,249.6,249.55,249.58,5901
2025-10-15 16:25:00,249.58,249.58,249.37,249.37,3372
2025-10-15 16:30:00,249.54,249.6,247.77,249.4,2862
2025-10-15 16:35:00,249.48,249.59,249.34,249.34,3122
2025-10-15 16:40:00,249.59,249.59,249.0,249.3,16341
2025-10-15 16:45:00,249.59,249.59,243.9135,249.36,1366
2025-10-15 16:50:00,249.08,249.49,233.5364,249.12,3100
2025-10-15 16:55:00,249.12,249.59,241.1094,249.229,7914
2025-10-15 17:00:00,249.25,249.58,233.5364,249.259,487
2025-10-15 17:05:00,249.34,249.55,249.12,249.55,362
2025-10-15 17:10:00,249.38,249.5412,249.2,249.22,556778
2025-10-15 17:15:00,249.34,249.4,249.24,249.4,67748
2025-10-15 17:20:00,249.24,249.4,249.24,249.28,1408
2025-10-15 17:25:00,249.25,249.4,249.24,249.26,277
2025-10-15 17:30:00,249.26,249.4,249.24,249.35,304
2025-10-15 17:35:00,249.35,249.38,249.25,249.32,304
2025-10-15 17:40:00,249.32,249.4,249.24,249.25,936
2025-10-15 17:45:00,249.28,249.34,249.1,249.1,2117
2025-10-15 17:50:00,249.23,249.4,249.1,249.2,918
2025-10-15 17:55:00,249.2,249.4,249.15,249.33,1409
2025-10-15 18:00:00,249.34,249.6,249.19,249.38,2018
2025-10-15 18:05:00,249.47,249.6,249.26,249.34,2005
2025-10-15 18:10:00,249.5,249.59,249.34,249.59,909
2025-10-15 18:15:00,249.34,249.6,249.34,249.5,1094
2025-10-15 18:20:00,249.5,249.59,249.34,249.3412,852
2025-10-15 18:25:00,249.59,249.59,249.34,249.53,1769
2025-10-15 18:30:00,249.54,249.59,249.35,249.58,1070
2025-10-15 18:35:00,249.5412,249.59,249.35,249.55,1172
2025-10-15 18:40:00,249.3632,249.59,249.35,249.55,1150
2025-10-15 18:45:00,249.56,249.57,249.19,249.41,1093
2025-10-15 18:50:00,249.5,249.55,249.29,249.5,532
2025-10-15 18:55:00,249.4885,249.5,247.59,248.8,18175
2025-10-15 19:00:00,248.9,249.09,248.3262,248.955,8651
2025-10-15 19:05:00,249.0,249.4,248.95,248.96,2179
2025-10-15 19:10:00,249.0,249.3,248.95,249.17,744
2025-10-15 19:15:00,248.95,249.23,248.5,249.0362,1466
2025-10-15 19:20:00,248.5,249.297,248.5,249.2702,4602
2025-10-15 19:25:00,249.29,249.29,248.51,248.76,314
2025-10-15 19:30:00,248.75,249.1692,248.75,249.14,1465
2025-10-15 19:35:00,249.1692,249.18,248.79,249.18,1670
2025-10-15 19:40:00,248.9,249.18,248.65,249.16,1726
2025-10-15 19:45:00,249.16,249.16,248.65,249.08,543
2025-10-15 19:50:00,249.0887,249.1,248.65,248.65,629
2025-10-15 19:55:00,248.65,249.1,248.65,249.09,2630
2025-10-16 04:00:00,249.9,250.25,249.43,250.1,6779
2025-10-16 04:05:00,250.07,250.19,249.87,250.12,5281
2025-10-16 04:10:00,250.13,250.2,249.82,250.18,2780
2025-10-16 04:15:00,250.19,250.41,250.11,250.22,1234
2025-10-16 04:20:00,250.2,250.26,249.86,249.94,2661
2025-10-16 04:25:00,249.97,250.02,249.81,249.81,1465
2025-10-16 04:30:00,249.9,250.02,249.87,249.91,957
2025-10-16 04:35:00,249.87,249.99,249.72,249.86,3228
2025-10-16 04:40:00,249.85,249.97,249.85,249.93,302
2025-10-16 04:45:00,249.96,249.96,249.83,249.88,205
2025-10-16 04:50:00,249.9,249.91,249.88,249.91,1287
2025-10-16 04:55:00,249.9,250.05,249.89,250.04,497
2025-10-16 05:00:00,250.07,250.22,249.91,250.18,3854
2025-10-16 05:05:00,250.17,250.2,250.0,250.05,1550
2025-10-16 05:10:00,250.12,250.12,250.02,250.04,458
2025-10-16 05:15:00,250.04,250.04,249.7,249.97,3141
2025-10-16 05:20:00,249.78,250.0,249.78,249.93,1348
2025-10-16 05:25:00,249.99,250.14,249.9,250.12,761
2025-10-16 05:30:00,250.12,250.12,249.99,249.99,301
2025-10-16 05:35:00,250.08,250.08,249.71,249.94,1209
2025-10-16 05:40:00,249.94,250.1,249.85,249.93,557
2025-10-16 05:45:00,250.0,250.17,249.96,250.17,1231
2025-10-16 05:50:00,250.1,250.19,250.03,250.11,624
2025-10-16 05:55:00,250.18,250.25,250.09,250.25,4102
2025-10-16 06:00:00,250.28,250.62,250.27,250.35,13472
2025-10-16 06:05:00,250.33,250.41,250.3,250.3,845
2025-10-16 06:10:00,250.33,250.33,250.12,250.3,926
2025-10-16 06:15:00,250.14,250.33,250.14,250.3,5559
2025-10-16 06:20:00,250.28,250.62,250.25,250.46,5024
2025-10-16 06:25:00,250.55,250.64,250.42,250.45,5834
2025-10-16 06:30:00,250.45,250.52,250.39,250.41,5436
2025-10-16 06:35:00,250.42,250.42,250.39,250.42,1187
2025-10-16 06:40:00,250.45,250.46,250.12,250.17,2287
2025-10-16 06:45:00,250.18,250.34,250.12,250.14,2966
2025-10-16 06:50:00,250.12,250.14,250.05,250.09,2018
2025-10-16 06:55:00,250.1,250.26,250.1,250.22,2048
2025-10-16 07:00:00,250.16,250.36,250.1,250.19,2644
2025-10-16 07:05:00,250.2,250.3,250.14,250.16,6276
2025-10-16 07:10:00,250.15,250.15,250.06,250.15,3915
2025-10-16 07:15:00,250.09,250.14,250.05,250.1,766
2025-10-16 07:20:00,250.1,250.15,250.01,250.15,3374
2025-10-16 07:25:00,250.1,250.15,250.0,250.0,1384
2025-10-16 07:30:00,250.0,250.05,249.98,249.99,1116
2025-10-16 07:35:00,249.99,250.0,249.86,249.96,1539
2025-10-16 07:40:00,249.95,249.96,249.89,249.91,951
2025-10-16 07:45:00,249.95,249.95,249.75,249.79,1406
